killing previous experiments...
initializing cxl memory...
I0914 15:28:37.015628 14365 bench_tpcc.cpp:71] WAL Group Commiting off. Log to file _non_group_commit.txt using Blackhole Logger
I0914 15:28:37.015667 14365 Database.h:166] creating hash tables for database...
I0914 15:28:37.019378 14365 Database.h:146] warehouse initialization finished in 0 milliseconds.
I0914 15:28:37.019538 14365 Database.h:146] district initialization finished in 0 milliseconds.
I0914 15:28:37.095942 14365 Database.h:146] customer initialization finished in 76 milliseconds.
I0914 15:28:37.110445 14365 Database.h:146] customer_name_idx initialization finished in 14 milliseconds.
I0914 15:28:37.152709 14365 Database.h:146] item initialization finished in 42 milliseconds.
I0914 15:28:37.320472 14365 Database.h:146] stock initialization finished in 167 milliseconds.
I0914 15:28:37.357107 14365 CXLMemory.h:40] cxlalloc initialized for thread 0 (global ID = 0) on host 0
I0914 15:28:37.357125 14365 Coordinator.h:42] Coordinator initializes 2 workers.
I0914 15:28:37.358961 14365 SundialPashaHelper.h:415] SundialPasha Helper initializes data migration metadata (160 CXL hash tables each with 1000 entries)
I0914 15:28:37.359100 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.360229 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.361374 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.362527 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.363672 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.364821 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.365971 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.367125 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.368283 14365 Coordinator.h:332] Coordinator 0 initializes CXL transport metadata (8 ringbuffers each with 4096 entries (each 503 Bytes)
I0914 15:28:37.368476 14379 Coordinator.h:368] Listener 0 on coordinator 0 listening on 192.168.100.2:1234 tcp_no_delay 1 tcp_quick_ack 0
I0914 15:28:37.368484 14365 Coordinator.h:414] Coordinator 0 failed to connect 1(192.168.100.3:1234)'s listener 0, retry in 5 seconds.
I0914 15:28:42.368655 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.368669 14365 Coordinator.h:423] Coordinator 0 connected to 1
I0914 15:28:42.368757 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.368758 14365 Coordinator.h:423] Coordinator 0 connected to 2
I0914 15:28:42.368773 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.368793 14379 Coordinator.h:383] Listener accepted connection from coordinator 1
I0914 15:28:42.368803 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.368805 14379 Coordinator.h:383] Listener accepted connection from coordinator 2
I0914 15:28:42.368809 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.368810 14379 Coordinator.h:383] Listener accepted connection from coordinator 5
I0914 15:28:42.368830 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.368832 14365 Coordinator.h:423] Coordinator 0 connected to 3
I0914 15:28:42.368901 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.368902 14365 Coordinator.h:423] Coordinator 0 connected to 4
I0914 15:28:42.368954 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.368956 14365 Coordinator.h:423] Coordinator 0 connected to 5
I0914 15:28:42.368976 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.368978 14379 Coordinator.h:383] Listener accepted connection from coordinator 7
I0914 15:28:42.368999 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.369000 14379 Coordinator.h:383] Listener accepted connection from coordinator 3
I0914 15:28:42.369009 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.369009 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.369012 14365 Coordinator.h:423] Coordinator 0 connected to 6
I0914 15:28:42.369014 14379 Coordinator.h:383] Listener accepted connection from coordinator 6
I0914 15:28:42.369077 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.369081 14379 Coordinator.h:383] Listener accepted connection from coordinator 4
I0914 15:28:42.369082 14379 Coordinator.h:386] Listener 0 on coordinator 0 exits.
I0914 15:28:42.369081 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.369097 14365 Coordinator.h:423] Coordinator 0 connected to 7
I0914 15:28:42.369153 14365 Coordinator.h:435] Coordinator 0 connected to all peers.
I0914 15:28:42.369169 14365 Dispatcher.h:37] IncomingDispatcher 0 coord_id 0
I0914 15:28:42.369271 14365 Dispatcher.h:210] OutgoingDispatcher 0 coord_id 0
I0914 15:28:42.369308 14380 Dispatcher.h:56] Incoming Dispatcher started, numCoordinators = 8, numWorkers = 2, group id = 0, coordinator = 0
I0914 15:28:42.369333 14365 Coordinator.h:146] Coordinator starts to run 3 workers.
I0914 15:28:42.369352 14381 Dispatcher.h:222] Outgoing Dispatcher started, numCoordinators = 8, numWorkers = 3, group id = 0
I0914 15:28:42.369383 14382 Executor.h:74] Executor 0 starts.
I0914 15:28:42.369405 14382 CXLMemory.h:40] cxlalloc initialized for thread 1 (global ID = 1) on host 0
I0914 15:28:42.369431 14384 Manager.h:226] Manager(worker id = 2) on the coordinator node started.
I0914 15:28:42.369470 14383 Executor.h:74] Executor 1 starts.
I0914 15:28:42.369477 14383 CXLMemory.h:40] cxlalloc initialized for thread 2 (global ID = 2) on host 0
I0914 15:28:43.369494 14365 Coordinator.h:237] commit: 136408 abort: 6416 (648/5399/369), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1965572, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:33:06.160861 14649 Coordinator.h:414] Coordinator 0 failed to connect 1(192.168.100.3:1234)'s listener 0, retry in 5 seconds.
I0914 15:33:11.161037 14649 Socket.h:69] Disabling nagle
I0914 15:33:11.161064 14649 Coordinator.h:423] Coordinator 0 connected to 1
I0914 15:33:11.161098 14663 Socket.h:69] Disabling nagle
I0914 15:33:11.161108 14663 Coordinator.h:383] Listener accepted connection from coordinator 2
I0914 15:33:11.161127 14663 Socket.h:69] Disabling nagle
I0914 15:33:11.161129 14663 Coordinator.h:383] Listener accepted connection from coordinator 3
I0914 15:33:11.161173 14649 Socket.h:69] Disabling nagle
I0914 15:33:11.161266 14649 Coordinator.h:423] Coordinator 0 connected to 2
I0914 15:33:11.161316 14663 Socket.h:69] Disabling nagle
I0914 15:33:11.161334 14663 Coordinator.h:383] Listener accepted connection from coordinator 1
I0914 15:33:11.161345 14663 Socket.h:69] Disabling nagle
I0914 15:33:11.161347 14663 Coordinator.h:383] Listener accepted connection from coordinator 7
I0914 15:33:11.161399 14649 Socket.h:69] Disabling nagle
I0914 15:33:11.161402 14649 Coordinator.h:423] Coordinator 0 connected to 3
I0914 15:33:11.161404 14663 Socket.h:69] Disabling nagle
I0914 15:33:11.161407 14663 Coordinator.h:383] Listener accepted connection from coordinator 4
I0914 15:33:11.161415 14663 Socket.h:69] Disabling nagle
I0914 15:33:11.161417 14663 Coordinator.h:383] Listener accepted connection from coordinator 6
I0914 15:33:11.161424 14663 Socket.h:69] Disabling nagle
I0914 15:33:11.161425 14663 Coordinator.h:383] Listener accepted connection from coordinator 5
I0914 15:33:11.161427 14663 Coordinator.h:386] Listener 0 on coordinator 0 exits.
I0914 15:33:11.161465 14649 Socket.h:69] Disabling nagle
I0914 15:33:11.161468 14649 Coordinator.h:423] Coordinator 0 connected to 4
I0914 15:33:11.161516 14649 Socket.h:69] Disabling nagle
I0914 15:33:11.161520 14649 Coordinator.h:423] Coordinator 0 connected to 5
I0914 15:33:11.161563 14649 Socket.h:69] Disabling nagle
I0914 15:33:11.161566 14649 Coordinator.h:423] Coordinator 0 connected to 6
I0914 15:33:11.161633 14649 Socket.h:69] Disabling nagle
I0914 15:33:11.161636 14649 Coordinator.h:423] Coordinator 0 connected to 7
I0914 15:33:11.161641 14649 Coordinator.h:435] Coordinator 0 connected to all peers.
I0914 15:33:11.161660 14649 Dispatcher.h:37] IncomingDispatcher 0 coord_id 0
I0914 15:33:11.161770 14649 Dispatcher.h:210] OutgoingDispatcher 0 coord_id 0
I0914 15:33:11.161810 14664 Dispatcher.h:56] Incoming Dispatcher started, numCoordinators = 8, numWorkers = 2, group id = 0, coordinator = 0
I0914 15:33:11.161832 14649 Coordinator.h:146] Coordinator starts to run 3 workers.
I0914 15:33:11.161854 14665 Dispatcher.h:222] Outgoing Dispatcher started, numCoordinators = 8, numWorkers = 3, group id = 0
I0914 15:33:11.161882 14666 Executor.h:74] Executor 0 starts.
I0914 15:33:11.161904 14666 CXLMemory.h:40] cxlalloc initialized for thread 1 (global ID = 1) on host 0
I0914 15:33:11.161935 14668 Manager.h:226] Manager(worker id = 2) on the coordinator node started.
I0914 15:33:11.161968 14667 Executor.h:74] Executor 1 starts.
I0914 15:33:11.161975 14667 CXLMemory.h:40] cxlalloc initialized for thread 2 (global ID = 2) on host 0
I0914 15:33:12.161995 14649 Coordinator.h:237] commit: 65407 abort: 5396 (321/4600/475), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 242468, avg network size: 3.70706, si_in_serializable: 0 0 %, local: 25.511 %, local_access: 947616, local_cxl_access: 63073 (6.65597%), remote_access: 17097, remote_access_with_req: 8214 (48.0435%), data_move_in: 8502, n_data_move_out: 0
I0914 15:33:13.162348 14649 Coordinator.h:237] commit: 72231 abort: 5048 (337/4203/508), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 202264, avg network size: 2.80024, si_in_serializable: 0 0 %, local: 25.2759 %, local_access: 1044986, local_cxl_access: 147612 (14.1257%), remote_access: 18458, remote_access_with_req: 6862 (37.1763%), data_move_in: 7162, n_data_move_out: 0
I0914 15:33:14.162544 14649 Coordinator.h:237] commit: 76640 abort: 4988 (356/4209/423), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 173400, avg network size: 2.26253, si_in_serializable: 0 0 %, local: 25.0117 %, local_access: 1108055, local_cxl_access: 202633 (18.2873%), remote_access: 19218, remote_access_with_req: 5898 (30.69%), data_move_in: 5950, n_data_move_out: 0
I0914 15:33:15.162737 14649 Coordinator.h:237] commit: 78426 abort: 4915 (401/4063/451), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 153428, avg network size: 1.95634, si_in_serializable: 0 0 %, local: 25.2365 %, local_access: 1132402, local_cxl_access: 239227 (21.1256%), remote_access: 19737, remote_access_with_req: 5214 (26.4174%), data_move_in: 5509, n_data_move_out: 0
I0914 15:33:16.163012 14649 Coordinator.h:237] commit: 81650 abort: 4936 (374/4123/439), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 141200, avg network size: 1.72933, si_in_serializable: 0 0 %, local: 25.1341 %, local_access: 1169851, local_cxl_access: 271672 (23.2228%), remote_access: 20431, remote_access_with_req: 4804 (23.5133%), data_move_in: 4826, n_data_move_out: 0
I0914 15:33:17.163331 14649 Coordinator.h:237] commit: 81809 abort: 4743 (380/3948/415), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 124408, avg network size: 1.52071, si_in_serializable: 0 0 %, local: 24.8628 %, local_access: 1176344, local_cxl_access: 292663 (24.879%), remote_access: 20174, remote_access_with_req: 4235 (20.9924%), data_move_in: 4348, n_data_move_out: 0
I0914 15:33:18.163677 14649 Coordinator.h:237] commit: 84179 abort: 4768 (413/3946/409), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 120112, avg network size: 1.42686, si_in_serializable: 0 0 %, local: 25.1333 %, local_access: 1206798, local_cxl_access: 315641 (26.1552%), remote_access: 21015, remote_access_with_req: 4097 (19.4956%), data_move_in: 3947, n_data_move_out: 0
I0914 15:33:19.163997 14649 Coordinator.h:237] commit: 84205 abort: 4783 (387/3991/405), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 111080, avg network size: 1.31916, si_in_serializable: 0 0 %, local: 25.0876 %, local_access: 1212129, local_cxl_access: 330043 (27.2284%), remote_access: 20931, remote_access_with_req: 3789 (18.1023%), data_move_in: 3841, n_data_move_out: 0
I0914 15:33:20.164340 14649 Coordinator.h:237] commit: 84909 abort: 4878 (431/4050/397), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 98028, avg network size: 1.15451, si_in_serializable: 0 0 %, local: 24.9114 %, local_access: 1213558, local_cxl_access: 340621 (28.068%), remote_access: 20929, remote_access_with_req: 3345 (15.9826%), data_move_in: 3460, n_data_move_out: 0
I0914 15:33:21.164661 14649 Coordinator.h:237] commit: 85343 abort: 4878 (406/4059/413), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 94124, avg network size: 1.10289, si_in_serializable: 0 0 %, local: 25.3296 %, local_access: 1219707, local_cxl_access: 351855 (28.8475%), remote_access: 21412, remote_access_with_req: 3209 (14.9869%), data_move_in: 3290, n_data_move_out: 0
I0914 15:33:22.165000 14649 Coordinator.h:237] commit: 86182 abort: 4789 (431/3882/476), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 88468, avg network size: 1.02653, si_in_serializable: 0 0 %, local: 25.0284 %, local_access: 1242653, local_cxl_access: 369244 (29.7142%), remote_access: 21348, remote_access_with_req: 3025 (14.1699%), data_move_in: 3162, n_data_move_out: 0
I0914 15:33:23.165343 14649 Coordinator.h:237] commit: 84811 abort: 4553 (432/3754/367), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 83388, avg network size: 0.983222, si_in_serializable: 0 0 %, local: 25.084 %, local_access: 1220299, local_cxl_access: 369811 (30.3049%), remote_access: 21071, remote_access_with_req: 2860 (13.5732%), data_move_in: 2830, n_data_move_out: 0
I0914 15:33:24.165704 14649 Coordinator.h:237] commit: 86494 abort: 4839 (439/4022/378), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 79920, avg network size: 0.923995, si_in_serializable: 0 0 %, local: 25.137 %, local_access: 1235066, local_cxl_access: 379004 (30.6869%), remote_access: 21571, remote_access_with_req: 2735 (12.6791%), data_move_in: 2617, n_data_move_out: 0
I0914 15:33:25.166023 14649 Coordinator.h:237] commit: 85918 abort: 4728 (445/3955/328), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 75892, avg network size: 0.883307, si_in_serializable: 0 0 %, local: 25.0739 %, local_access: 1231429, local_cxl_access: 384123 (31.1933%), remote_access: 21270, remote_access_with_req: 2596 (12.205%), data_move_in: 2551, n_data_move_out: 0
I0914 15:33:26.166368 14649 Coordinator.h:237] commit: 87085 abort: 4506 (422/3735/349), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 71300, avg network size: 0.81874, si_in_serializable: 0 0 %, local: 25.2133 %, local_access: 1245461, local_cxl_access: 393934 (31.6296%), remote_access: 21658, remote_access_with_req: 2445 (11.2891%), data_move_in: 2453, n_data_move_out: 0
I0914 15:33:27.166692 14649 Coordinator.h:237] commit: 87917 abort: 4624 (446/3828/350), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 69228, avg network size: 0.787425, si_in_serializable: 0 0 %, local: 25.1442 %, local_access: 1252602, local_cxl_access: 400486 (31.9723%), remote_access: 21762, remote_access_with_req: 2369 (10.8859%), data_move_in: 2368, n_data_move_out: 0
I0914 15:33:28.167039 14649 Coordinator.h:237] commit: 86957 abort: 4569 (402/3788/379), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 67720, avg network size: 0.778776, si_in_serializable: 0 0 %, local: 25.0561 %, local_access: 1242581, local_cxl_access: 402030 (32.3544%), remote_access: 21452, remote_access_with_req: 2317 (10.8009%), data_move_in: 2235, n_data_move_out: 0
I0914 15:33:29.167351 14649 Coordinator.h:237] commit: 87376 abort: 4403 (393/3677/333), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 62928, avg network size: 0.720198, si_in_serializable: 0 0 %, local: 25.1293 %, local_access: 1253300, local_cxl_access: 410783 (32.7761%), remote_access: 21694, remote_access_with_req: 2156 (9.93823%), data_move_in: 2111, n_data_move_out: 0
I0914 15:33:30.167702 14649 Coordinator.h:237] commit: 86250 abort: 4625 (449/3818/358), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 59992, avg network size: 0.695559, si_in_serializable: 0 0 %, local: 25.0481 %, local_access: 1232210, local_cxl_access: 406335 (32.9761%), remote_access: 21388, remote_access_with_req: 2048 (9.57546%), data_move_in: 2060, n_data_move_out: 0
I0914 15:33:31.167972 14649 Coordinator.h:237] commit: 87601 abort: 4519 (440/3727/352), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 59228, avg network size: 0.676111, si_in_serializable: 0 0 %, local: 25.1664 %, local_access: 1248104, local_cxl_access: 414584 (33.2171%), remote_access: 21751, remote_access_with_req: 2029 (9.32831%), data_move_in: 1962, n_data_move_out: 0
I0914 15:33:32.168342 14649 Coordinator.h:237] commit: 87401 abort: 4509 (430/3746/333), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 55680, avg network size: 0.637064, si_in_serializable: 0 0 %, local: 25.2514 %, local_access: 1246267, local_cxl_access: 417350 (33.488%), remote_access: 21716, remote_access_with_req: 1910 (8.79536%), data_move_in: 1959, n_data_move_out: 0
I0914 15:33:33.168669 14649 Coordinator.h:237] commit: 88539 abort: 4521 (459/3683/379), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 54348, avg network size: 0.613831, si_in_serializable: 0 0 %, local: 24.9574 %, local_access: 1258463, local_cxl_access: 424123 (33.7017%), remote_access: 21764, remote_access_with_req: 1864 (8.5646%), data_move_in: 1824, n_data_move_out: 0
I0914 15:33:34.168999 14649 Coordinator.h:237] commit: 87840 abort: 4558 (459/3769/330), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 53520, avg network size: 0.60929, si_in_serializable: 0 0 %, local: 25.0638 %, local_access: 1255730, local_cxl_access: 426571 (33.97%), remote_access: 21877, remote_access_with_req: 1833 (8.37866%), data_move_in: 1823, n_data_move_out: 0
I0914 15:33:35.169324 14649 Coordinator.h:237] commit: 87997 abort: 4461 (436/3713/312), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 51932, avg network size: 0.590156, si_in_serializable: 0 0 %, local: 24.9361 %, local_access: 1255468, local_cxl_access: 429706 (34.2268%), remote_access: 21600, remote_access_with_req: 1784 (8.25926%), data_move_in: 1752, n_data_move_out: 0
I0914 15:33:36.169672 14649 Coordinator.h:237] commit: 87268 abort: 4492 (443/3710/339), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 48996, avg network size: 0.561443, si_in_serializable: 0 0 %, local: 25.1295 %, local_access: 1248712, local_cxl_access: 430208 (34.4521%), remote_access: 21470, remote_access_with_req: 1683 (7.83884%), data_move_in: 1675, n_data_move_out: 0
I0914 15:33:37.169978 14649 Coordinator.h:237] commit: 87923 abort: 4424 (459/3632/333), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 47540, avg network size: 0.5407, si_in_serializable: 0 0 %, local: 25.1936 %, local_access: 1251731, local_cxl_access: 432898 (34.5839%), remote_access: 21815, remote_access_with_req: 1632 (7.48109%), data_move_in: 1594, n_data_move_out: 0
I0914 15:33:38.170338 14649 Coordinator.h:237] commit: 88205 abort: 4382 (406/3659/317), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 44736, avg network size: 0.507182, si_in_serializable: 0 0 %, local: 25.0133 %, local_access: 1253925, local_cxl_access: 435709 (34.7476%), remote_access: 21658, remote_access_with_req: 1536 (7.09207%), data_move_in: 1532, n_data_move_out: 0
I0914 15:33:39.170661 14649 Coordinator.h:237] commit: 87745 abort: 4335 (421/3571/343), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 45012, avg network size: 0.512986, si_in_serializable: 0 0 %, local: 25.1399 %, local_access: 1256370, local_cxl_access: 440373 (35.0512%), remote_access: 21681, remote_access_with_req: 1547 (7.13528%), data_move_in: 1548, n_data_move_out: 0
I0914 15:33:40.170979 14649 Coordinator.h:237] commit: 87938 abort: 4534 (432/3723/379), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 42108, avg network size: 0.478837, si_in_serializable: 0 0 %, local: 25.0699 %, local_access: 1251346, local_cxl_access: 438487 (35.0412%), remote_access: 21738, remote_access_with_req: 1438 (6.61514%), data_move_in: 1446, n_data_move_out: 0
I0914 15:33:41.171319 14649 Coordinator.h:237] commit: 87800 abort: 4379 (436/3629/314), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 39884, avg network size: 0.45426, si_in_serializable: 0 0 %, local: 24.8804 %, local_access: 1253544, local_cxl_access: 442193 (35.2754%), remote_access: 21441, remote_access_with_req: 1373 (6.40362%), data_move_in: 1353, n_data_move_out: 0
I0914 15:33:42.171689 14649 Coordinator.h:237] commit: 87663 abort: 4401 (428/3641/332), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 39320, avg network size: 0.448536, si_in_serializable: 0 0 %, local: 25.2068 %, local_access: 1252284, local_cxl_access: 443610 (35.4241%), remote_access: 21729, remote_access_with_req: 1354 (6.2313%), data_move_in: 1379, n_data_move_out: 0
I0914 15:33:43.171972 14649 Coordinator.h:237] commit: 86752 abort: 4409 (425/3654/330), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 39192, avg network size: 0.451771, si_in_serializable: 0 0 %, local: 25.2133 %, local_access: 1233203, local_cxl_access: 437623 (35.4867%), remote_access: 21512, remote_access_with_req: 1347 (6.26162%), data_move_in: 1346, n_data_move_out: 0
I0914 15:33:44.172338 14649 Coordinator.h:237] commit: 87734 abort: 4363 (431/3629/303), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 38020, avg network size: 0.433355, si_in_serializable: 0 0 %, local: 25.0792 %, local_access: 1253347, local_cxl_access: 446921 (35.6582%), remote_access: 21648, remote_access_with_req: 1309 (6.04675%), data_move_in: 1227, n_data_move_out: 0
I0914 15:33:45.172657 14649 Coordinator.h:237] commit: 87605 abort: 4332 (420/3567/345), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 37540, avg network size: 0.428514, si_in_serializable: 0 0 %, local: 25.0636 %, local_access: 1252110, local_cxl_access: 447967 (35.777%), remote_access: 21594, remote_access_with_req: 1291 (5.97851%), data_move_in: 1291, n_data_move_out: 0
I0914 15:33:46.172997 14649 Coordinator.h:237] commit: 88036 abort: 4334 (420/3584/330), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 36740, avg network size: 0.417329, si_in_serializable: 0 0 %, local: 25.0829 %, local_access: 1255202, local_cxl_access: 450442 (35.886%), remote_access: 21604, remote_access_with_req: 1260 (5.83225%), data_move_in: 1176, n_data_move_out: 0
