killing previous experiments...
initializing cxl memory...
I0914 14:57:17.155953 12391 bench_tpcc.cpp:71] WAL Group Commiting off. Log to file _non_group_commit.txt using Blackhole Logger
I0914 14:57:17.155990 12391 Database.h:166] creating hash tables for database...
I0914 14:57:17.159739 12391 Database.h:146] warehouse initialization finished in 0 milliseconds.
I0914 14:57:17.159961 12391 Database.h:146] district initialization finished in 0 milliseconds.
I0914 14:57:17.235977 12391 Database.h:146] customer initialization finished in 76 milliseconds.
I0914 14:57:17.250433 12391 Database.h:146] customer_name_idx initialization finished in 14 milliseconds.
I0914 14:57:17.292694 12391 Database.h:146] item initialization finished in 42 milliseconds.
I0914 14:57:17.460824 12391 Database.h:146] stock initialization finished in 168 milliseconds.
I0914 14:57:17.497403 12391 CXLMemory.h:40] cxlalloc initialized for thread 0 (global ID = 0) on host 0
I0914 14:57:17.497417 12391 Coordinator.h:42] Coordinator initializes 2 workers.
I0914 14:57:17.499179 12391 SundialPashaHelper.h:415] SundialPasha Helper initializes data migration metadata (160 CXL hash tables each with 1000 entries)
I0914 14:57:17.499352 12391 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 14:57:17.500507 12391 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 14:57:17.501682 12391 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 14:57:17.502862 12391 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 14:57:17.504040 12391 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 14:57:17.505187 12391 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 14:57:17.506328 12391 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 14:57:17.507475 12391 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 14:57:17.508622 12391 Coordinator.h:332] Coordinator 0 initializes CXL transport metadata (8 ringbuffers each with 4096 entries (each 503 Bytes)
I0914 14:57:17.508754 12405 Coordinator.h:368] Listener 0 on coordinator 0 listening on 192.168.100.2:1234 tcp_no_delay 1 tcp_quick_ack 0
I0914 14:57:17.508874 12391 Socket.h:69] Disabling nagle
I0914 14:57:17.508888 12391 Coordinator.h:423] Coordinator 0 connected to 1
I0914 14:57:17.508955 12391 Socket.h:69] Disabling nagle
I0914 14:57:17.508957 12391 Coordinator.h:423] Coordinator 0 connected to 2
I0914 14:57:17.509033 12391 Socket.h:69] Disabling nagle
I0914 14:57:17.509037 12391 Coordinator.h:423] Coordinator 0 connected to 3
I0914 14:57:17.509352 12405 Socket.h:69] Disabling nagle
I0914 14:57:17.509361 12405 Coordinator.h:383] Listener accepted connection from coordinator 5
I0914 14:57:17.509367 12405 Socket.h:69] Disabling nagle
I0914 14:57:17.509368 12405 Coordinator.h:383] Listener accepted connection from coordinator 1
I0914 14:57:17.509368 12391 Socket.h:69] Disabling nagle
I0914 14:57:17.509375 12405 Socket.h:69] Disabling nagle
I0914 14:57:17.509389 12405 Coordinator.h:383] Listener accepted connection from coordinator 3
I0914 14:57:17.509384 12391 Coordinator.h:423] Coordinator 0 connected to 4
I0914 14:57:17.509394 12405 Socket.h:69] Disabling nagle
I0914 14:57:17.509402 12405 Coordinator.h:383] Listener accepted connection from coordinator 4
I0914 14:57:17.509406 12405 Socket.h:69] Disabling nagle
I0914 14:57:17.509408 12405 Coordinator.h:383] Listener accepted connection from coordinator 2
I0914 14:57:17.509466 12391 Socket.h:69] Disabling nagle
I0914 14:57:17.509469 12391 Coordinator.h:423] Coordinator 0 connected to 5
I0914 14:57:17.509583 12391 Socket.h:69] Disabling nagle
I0914 14:57:17.509588 12391 Coordinator.h:423] Coordinator 0 connected to 6
I0914 14:57:17.509671 12391 Socket.h:69] Disabling nagle
I0914 14:57:17.509683 12391 Coordinator.h:423] Coordinator 0 connected to 7
I0914 14:57:22.509250 12405 Socket.h:69] Disabling nagle
I0914 14:57:22.509258 12405 Coordinator.h:383] Listener accepted connection from coordinator 7
I0914 14:57:22.509418 12405 Socket.h:69] Disabling nagle
I0914 14:57:22.509423 12405 Coordinator.h:383] Listener accepted connection from coordinator 6
I0914 14:57:22.509423 12405 Coordinator.h:386] Listener 0 on coordinator 0 exits.
I0914 14:57:22.509493 12391 Coordinator.h:435] Coordinator 0 connected to all peers.
I0914 14:57:22.509518 12391 Dispatcher.h:37] IncomingDispatcher 0 coord_id 0
I0914 14:57:22.509531 12391 Dispatcher.h:210] OutgoingDispatcher 0 coord_id 0
I0914 14:57:22.509585 12406 Dispatcher.h:56] Incoming Dispatcher started, numCoordinators = 8, numWorkers = 2, group id = 0, coordinator = 0
I0914 14:57:22.509606 12391 Coordinator.h:146] Coordinator starts to run 3 workers.
I0914 14:57:22.509624 12407 Dispatcher.h:222] Outgoing Dispatcher started, numCoordinators = 8, numWorkers = 3, group id = 0
I0914 14:57:22.509675 12408 Executor.h:74] Executor 0 starts.
I0914 14:57:22.509714 12408 CXLMemory.h:40] cxlalloc initialized for thread 1 (global ID = 1) on host 0
I0914 14:57:22.509729 12410 Manager.h:226] Manager(worker id = 2) on the coordinator node started.
I0914 14:57:22.509766 12409 Executor.h:74] Executor 1 starts.
I0914 14:57:22.509773 12409 CXLMemory.h:40] cxlalloc initialized for thread 2 (global ID = 2) on host 0
I0914 14:57:23.509788 12391 Coordinator.h:237] commit: 136332 abort: 6437 (718/5324/395), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1971189, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:00:11.573311 12531 Coordinator.h:237] commit: 99972 abort: 4817 (498/3996/323), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 30504, avg network size: 0.305125, si_in_serializable: 0 0 %, local: 12.4325 %, local_access: 1430549, local_cxl_access: 484534 (33.8705%), remote_access: 12209, remote_access_with_req: 1047 (8.57564%), data_move_in: 1028, n_data_move_out: 0
I0914 15:00:12.573390 12531 Coordinator.h:237] commit: 100295 abort: 4804 (497/3987/320), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 28852, avg network size: 0.287671, si_in_serializable: 0 0 %, local: 12.3994 %, local_access: 1434993, local_cxl_access: 488323 (34.0296%), remote_access: 12189, remote_access_with_req: 991 (8.13028%), data_move_in: 1042, n_data_move_out: 0
I0914 15:00:13.573474 12531 Coordinator.h:237] commit: 99799 abort: 4723 (512/3862/349), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 31040, avg network size: 0.311025, si_in_serializable: 0 0 %, local: 12.6314 %, local_access: 1432855, local_cxl_access: 491049 (34.2707%), remote_access: 12383, remote_access_with_req: 1060 (8.56012%), data_move_in: 1049, n_data_move_out: 0
I0914 15:00:14.573561 12531 Coordinator.h:237] commit: 99395 abort: 4800 (542/3907/351), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 29048, avg network size: 0.292248, si_in_serializable: 0 0 %, local: 12.5167 %, local_access: 1430863, local_cxl_access: 492493 (34.4193%), remote_access: 12174, remote_access_with_req: 998 (8.1978%), data_move_in: 1045, n_data_move_out: 0
I0914 15:00:15.573635 12531 Coordinator.h:237] commit: 100033 abort: 4728 (481/3941/306), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 29344, avg network size: 0.293343, si_in_serializable: 0 0 %, local: 12.4099 %, local_access: 1427886, local_cxl_access: 490863 (34.3769%), remote_access: 12149, remote_access_with_req: 1001 (8.23936%), data_move_in: 973, n_data_move_out: 0
I0914 15:00:16.573716 12531 Coordinator.h:237] commit: 99495 abort: 4666 (497/3838/331), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 29060, avg network size: 0.292075, si_in_serializable: 0 0 %, local: 12.4509 %, local_access: 1431209, local_cxl_access: 495476 (34.6194%), remote_access: 12182, remote_access_with_req: 998 (8.19242%), data_move_in: 988, n_data_move_out: 0
I0914 15:00:17.573803 12531 Coordinator.h:237] commit: 99341 abort: 4700 (519/3862/319), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 28980, avg network size: 0.291722, si_in_serializable: 0 0 %, local: 12.7752 %, local_access: 1423885, local_cxl_access: 494189 (34.7071%), remote_access: 12416, remote_access_with_req: 999 (8.04607%), data_move_in: 965, n_data_move_out: 0
I0914 15:00:18.573889 12531 Coordinator.h:237] commit: 99445 abort: 4775 (511/3957/307), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 27068, avg network size: 0.272191, si_in_serializable: 0 0 %, local: 12.4923 %, local_access: 1423030, local_cxl_access: 495244 (34.8021%), remote_access: 12140, remote_access_with_req: 928 (7.64415%), data_move_in: 933, n_data_move_out: 0
I0914 15:00:19.573968 12531 Coordinator.h:237] commit: 98902 abort: 4770 (505/3938/327), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 26052, avg network size: 0.263412, si_in_serializable: 0 0 %, local: 12.7166 %, local_access: 1415081, local_cxl_access: 493683 (34.8873%), remote_access: 12359, remote_access_with_req: 896 (7.24978%), data_move_in: 942, n_data_move_out: 0
I0914 15:00:20.574041 12531 Coordinator.h:237] commit: 99352 abort: 4757 (528/3908/321), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 27768, avg network size: 0.279491, si_in_serializable: 0 0 %, local: 12.3923 %, local_access: 1424218, local_cxl_access: 499113 (35.0447%), remote_access: 12138, remote_access_with_req: 953 (7.85138%), data_move_in: 873, n_data_move_out: 0
I0914 15:00:21.574113 12531 Coordinator.h:237] commit: 98947 abort: 4736 (514/3894/328), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 26488, avg network size: 0.267699, si_in_serializable: 0 0 %, local: 12.4552 %, local_access: 1421236, local_cxl_access: 499397 (35.1382%), remote_access: 12143, remote_access_with_req: 911 (7.50226%), data_move_in: 864, n_data_move_out: 0
I0914 15:00:22.574190 12531 Coordinator.h:237] commit: 99494 abort: 4636 (470/3864/302), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 25580, avg network size: 0.257101, si_in_serializable: 0 0 %, local: 12.8721 %, local_access: 1426295, local_cxl_access: 502271 (35.2151%), remote_access: 12557, remote_access_with_req: 879 (7.00008%), data_move_in: 859, n_data_move_out: 0
I0914 15:00:23.574271 12531 Coordinator.h:237] commit: 99311 abort: 4654 (507/3809/338), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 24612, avg network size: 0.247828, si_in_serializable: 0 0 %, local: 12.5837 %, local_access: 1423621, local_cxl_access: 502863 (35.3228%), remote_access: 12261, remote_access_with_req: 845 (6.89177%), data_move_in: 867, n_data_move_out: 0
I0914 15:00:24.574349 12531 Coordinator.h:237] commit: 99076 abort: 4755 (528/3880/347), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 24880, avg network size: 0.25112, si_in_serializable: 0 0 %, local: 12.6287 %, local_access: 1420529, local_cxl_access: 503380 (35.4361%), remote_access: 12270, remote_access_with_req: 855 (6.96822%), data_move_in: 860, n_data_move_out: 0
I0914 15:00:25.574429 12531 Coordinator.h:237] commit: 98812 abort: 4688 (472/3901/315), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 24304, avg network size: 0.245962, si_in_serializable: 0 0 %, local: 12.6472 %, local_access: 1418520, local_cxl_access: 503436 (35.4902%), remote_access: 12317, remote_access_with_req: 833 (6.76301%), data_move_in: 850, n_data_move_out: 0
I0914 15:00:26.574502 12531 Coordinator.h:237] commit: 98832 abort: 4741 (516/3878/347), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 23024, avg network size: 0.232961, si_in_serializable: 0 0 %, local: 12.4798 %, local_access: 1415576, local_cxl_access: 503916 (35.5979%), remote_access: 12113, remote_access_with_req: 791 (6.53017%), data_move_in: 840, n_data_move_out: 0
I0914 15:00:27.574582 12531 Coordinator.h:237] commit: 98677 abort: 4774 (520/3942/312), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 23380, avg network size: 0.236935, si_in_serializable: 0 0 %, local: 12.6159 %, local_access: 1418253, local_cxl_access: 506607 (35.7205%), remote_access: 12344, remote_access_with_req: 805 (6.52139%), data_move_in: 782, n_data_move_out: 0
I0914 15:00:28.574671 12531 Coordinator.h:237] commit: 98451 abort: 4613 (479/3841/293), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 23080, avg network size: 0.234431, si_in_serializable: 0 0 %, local: 12.6296 %, local_access: 1416845, local_cxl_access: 507884 (35.8461%), remote_access: 12222, remote_access_with_req: 795 (6.50466%), data_move_in: 804, n_data_move_out: 0
I0914 15:00:29.574751 12531 Coordinator.h:237] commit: 98576 abort: 4665 (496/3861/308), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 21328, avg network size: 0.216361, si_in_serializable: 0 0 %, local: 12.5517 %, local_access: 1418598, local_cxl_access: 508906 (35.8739%), remote_access: 12146, remote_access_with_req: 730 (6.01021%), data_move_in: 775, n_data_move_out: 0
I0914 15:00:30.574831 12531 Coordinator.h:237] commit: 98813 abort: 4596 (479/3845/272), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 22056, avg network size: 0.223209, si_in_serializable: 0 0 %, local: 12.4812 %, local_access: 1421129, local_cxl_access: 510614 (35.9302%), remote_access: 12080, remote_access_with_req: 759 (6.28311%), data_move_in: 731, n_data_move_out: 0
I0914 15:00:31.574911 12531 Coordinator.h:237] commit: 98558 abort: 4626 (496/3806/324), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 21652, avg network size: 0.219688, si_in_serializable: 0 0 %, local: 12.6748 %, local_access: 1414827, local_cxl_access: 509262 (35.9946%), remote_access: 12225, remote_access_with_req: 747 (6.11043%), data_move_in: 734, n_data_move_out: 0
I0914 15:00:32.574985 12531 Coordinator.h:237] commit: 98620 abort: 4567 (457/3788/322), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 21580, avg network size: 0.21882, si_in_serializable: 0 0 %, local: 12.5401 %, local_access: 1415498, local_cxl_access: 510776 (36.0845%), remote_access: 12229, remote_access_with_req: 742 (6.06754%), data_move_in: 724, n_data_move_out: 0
I0914 15:00:33.575062 12531 Coordinator.h:237] commit: 98100 abort: 4620 (456/3867/297), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 22168, avg network size: 0.225973, si_in_serializable: 0 0 %, local: 12.6228 %, local_access: 1407226, local_cxl_access: 508278 (36.1191%), remote_access: 12114, remote_access_with_req: 762 (6.29024%), data_move_in: 744, n_data_move_out: 0
I0914 15:00:34.575145 12531 Coordinator.h:237] commit: 98071 abort: 4598 (483/3778/337), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 20772, avg network size: 0.211806, si_in_serializable: 0 0 %, local: 12.5633 %, local_access: 1412445, local_cxl_access: 511561 (36.2181%), remote_access: 12075, remote_access_with_req: 716 (5.92961%), data_move_in: 751, n_data_move_out: 0
I0914 15:00:35.575222 12531 Coordinator.h:237] commit: 98158 abort: 4685 (501/3863/321), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 20680, avg network size: 0.210681, si_in_serializable: 0 0 %, local: 12.651 %, local_access: 1401431, local_cxl_access: 506945 (36.1734%), remote_access: 12221, remote_access_with_req: 711 (5.81785%), data_move_in: 674, n_data_move_out: 0
I0914 15:00:36.575300 12531 Coordinator.h:237] commit: 98247 abort: 4670 (502/3838/330), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 19672, avg network size: 0.20023, si_in_serializable: 0 0 %, local: 12.5184 %, local_access: 1410342, local_cxl_access: 512519 (36.3401%), remote_access: 12048, remote_access_with_req: 677 (5.61919%), data_move_in: 687, n_data_move_out: 0
I0914 15:00:37.575381 12531 Coordinator.h:237] commit: 97755 abort: 4708 (494/3863/351), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 19708, avg network size: 0.201606, si_in_serializable: 0 0 %, local: 12.4843 %, local_access: 1405152, local_cxl_access: 511373 (36.3927%), remote_access: 11908, remote_access_with_req: 678 (5.69365%), data_move_in: 708, n_data_move_out: 0
I0914 15:00:38.575459 12531 Coordinator.h:237] commit: 97419 abort: 4587 (462/3824/301), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 19420, avg network size: 0.199345, si_in_serializable: 0 0 %, local: 12.4986 %, local_access: 1400750, local_cxl_access: 510953 (36.4771%), remote_access: 11907, remote_access_with_req: 671 (5.63534%), data_move_in: 673, n_data_move_out: 0
I0914 15:00:39.575546 12531 Coordinator.h:237] commit: 97025 abort: 4590 (491/3766/333), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 20636, avg network size: 0.212687, si_in_serializable: 0 0 %, local: 12.6153 %, local_access: 1392733, local_cxl_access: 508766 (36.53%), remote_access: 11971, remote_access_with_req: 708 (5.91429%), data_move_in: 630, n_data_move_out: 0
I0914 15:00:40.575627 12531 Coordinator.h:237] commit: 97292 abort: 4640 (490/3845/305), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 18932, avg network size: 0.194589, si_in_serializable: 0 0 %, local: 12.5365 %, local_access: 1396503, local_cxl_access: 510885 (36.5832%), remote_access: 11924, remote_access_with_req: 655 (5.49312%), data_move_in: 627, n_data_move_out: 0
I0914 15:00:41.575706 12531 Coordinator.h:237] commit: 97890 abort: 4586 (448/3848/290), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 18492, avg network size: 0.188906, si_in_serializable: 0 0 %, local: 12.4446 %, local_access: 1396667, local_cxl_access: 510082 (36.5214%), remote_access: 11937, remote_access_with_req: 634 (5.31122%), data_move_in: 623, n_data_move_out: 0
I0914 15:00:42.575793 12531 Coordinator.h:237] commit: 97458 abort: 4623 (494/3784/345), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 18736, avg network size: 0.192247, si_in_serializable: 0 0 %, local: 12.5634 %, local_access: 1399808, local_cxl_access: 513941 (36.7151%), remote_access: 12024, remote_access_with_req: 645 (5.36427%), data_move_in: 621, n_data_move_out: 0
I0914 15:00:43.575870 12531 Coordinator.h:237] commit: 97315 abort: 4598 (483/3828/287), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 18628, avg network size: 0.19142, si_in_serializable: 0 0 %, local: 12.6568 %, local_access: 1395600, local_cxl_access: 512481 (36.7212%), remote_access: 12116, remote_access_with_req: 641 (5.29052%), data_move_in: 668, n_data_move_out: 0
I0914 15:00:44.575953 12531 Coordinator.h:237] commit: 97496 abort: 4601 (492/3809/300), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 18652, avg network size: 0.19131, si_in_serializable: 0 0 %, local: 12.5072 %, local_access: 1397542, local_cxl_access: 513986 (36.7779%), remote_access: 11956, remote_access_with_req: 642 (5.36969%), data_move_in: 599, n_data_move_out: 0
I0914 15:00:45.576037 12531 Coordinator.h:237] commit: 97572 abort: 4602 (508/3798/296), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 18496, avg network size: 0.189563, si_in_serializable: 0 0 %, local: 12.5046 %, local_access: 1395633, local_cxl_access: 513940 (36.8249%), remote_access: 12006, remote_access_with_req: 637 (5.30568%), data_move_in: 586, n_data_move_out: 0
I0914 15:00:46.576115 12531 Coordinator.h:237] commit: 97567 abort: 4562 (494/3744/324), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 17840, avg network size: 0.182849, si_in_serializable: 0 0 %, local: 12.4837 %, local_access: 1401341, local_cxl_access: 517113 (36.9013%), remote_access: 11935, remote_access_with_req: 612 (5.12778%), data_move_in: 627, n_data_move_out: 0
I0914 15:00:47.576200 12531 Coordinator.h:237] commit: 97179 abort: 4571 (499/3758/314), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 18816, avg network size: 0.193622, si_in_serializable: 0 0 %, local: 12.6468 %, local_access: 1392486, local_cxl_access: 514245 (36.93%), remote_access: 12072, remote_access_with_req: 646 (5.35123%), data_move_in: 570, n_data_move_out: 0
I0914 15:00:48.576278 12531 Coordinator.h:237] commit: 96777 abort: 4537 (436/3783/318), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 16748, avg network size: 0.173058, si_in_serializable: 0 0 %, local: 12.5712 %, local_access: 1394141, local_cxl_access: 515970 (37.0099%), remote_access: 11958, remote_access_with_req: 578 (4.83358%), data_move_in: 616, n_data_move_out: 0
I0914 15:00:49.576586 12531 Coordinator.h:237] commit: 97006 abort: 4635 (486/3824/325), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 16216, avg network size: 0.167165, si_in_serializable: 0 0 %, local: 12.6198 %, local_access: 1393011, local_cxl_access: 515662 (37.0178%), remote_access: 11993, remote_access_with_req: 559 (4.66105%), data_move_in: 553, n_data_move_out: 0
I0914 15:00:50.576808 12531 Coordinator.h:237] commit: 97225 abort: 4576 (499/3783/294), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 16836, avg network size: 0.173165, si_in_serializable: 0 0 %, local: 12.6017 %, local_access: 1392084, local_cxl_access: 516364 (37.0929%), remote_access: 12070, remote_access_with_req: 580 (4.8053%), data_move_in: 548, n_data_move_out: 0
I0914 15:00:51.576972 12531 Coordinator.h:237] commit: 97228 abort: 4557 (506/3726/325), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 17628, avg network size: 0.181306, si_in_serializable: 0 0 %, local: 12.7216 %, local_access: 1395183, local_cxl_access: 518187 (37.1411%), remote_access: 12136, remote_access_with_req: 606 (4.99341%), data_move_in: 559, n_data_move_out: 0
I0914 15:00:52.577139 12531 Coordinator.h:237] commit: 97439 abort: 4516 (505/3722/289), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 15672, avg network size: 0.160839, si_in_serializable: 0 0 %, local: 12.2887 %, local_access: 1399387, local_cxl_access: 520147 (37.1696%), remote_access: 11770, remote_access_with_req: 540 (4.58794%), data_move_in: 527, n_data_move_out: 0
