killing previous experiments...
initializing cxl memory...
I0913 22:21:43.800396 80727 bench_tpcc.cpp:71] WAL Group Commiting off. Log to file _non_group_commit.txt using Blackhole Logger
I0913 22:21:43.800441 80727 Database.h:166] creating hash tables for database...
I0913 22:21:43.805200 80727 Database.h:146] warehouse initialization finished in 0 milliseconds.
I0913 22:21:43.805351 80727 Database.h:146] district initialization finished in 0 milliseconds.
I0913 22:21:43.936468 80727 Database.h:146] customer initialization finished in 131 milliseconds.
I0913 22:21:43.953995 80727 Database.h:146] customer_name_idx initialization finished in 17 milliseconds.
I0913 22:21:44.021612 80727 Database.h:146] item initialization finished in 67 milliseconds.
I0913 22:21:44.302776 80727 Database.h:146] stock initialization finished in 281 milliseconds.
I0913 22:21:44.350594 80727 CXLMemory.h:40] cxlalloc initialized for thread 0 (global ID = 0) on host 0
I0913 22:21:44.350610 80727 Coordinator.h:42] Coordinator initializes 2 workers.
I0913 22:21:44.350841 80727 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:21:44.359946 80727 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:21:44.369020 80727 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:21:44.378136 80727 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:21:44.387351 80727 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:21:44.396521 80727 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:21:44.405709 80727 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:21:44.414938 80727 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:21:44.424134 80727 Coordinator.h:332] Coordinator 0 initializes CXL transport metadata (8 ringbuffers each with 4096 entries (each 8183 Bytes)
I0913 22:21:44.424389 80741 Coordinator.h:368] Listener 0 on coordinator 0 listening on 192.168.100.2:1234 tcp_no_delay 1 tcp_quick_ack 0
I0913 22:21:44.424459 80727 Coordinator.h:414] Coordinator 0 failed to connect 1(192.168.100.3:1234)'s listener 0, retry in 5 seconds.
I0913 22:21:49.424732 80741 Socket.h:69] Disabling nagle
I0913 22:21:49.424731 80727 Socket.h:69] Disabling nagle
I0913 22:21:49.424747 80741 Coordinator.h:383] Listener accepted connection from coordinator 1
I0913 22:21:49.424757 80727 Coordinator.h:423] Coordinator 0 connected to 1
I0913 22:21:49.424768 80741 Socket.h:69] Disabling nagle
I0913 22:21:49.424772 80741 Coordinator.h:383] Listener accepted connection from coordinator 5
I0913 22:21:49.424777 80741 Socket.h:69] Disabling nagle
I0913 22:21:49.424779 80741 Coordinator.h:383] Listener accepted connection from coordinator 2
I0913 22:21:49.424784 80741 Socket.h:69] Disabling nagle
I0913 22:21:49.424786 80741 Coordinator.h:383] Listener accepted connection from coordinator 6
I0913 22:21:49.424791 80741 Socket.h:69] Disabling nagle
I0913 22:21:49.424793 80741 Coordinator.h:383] Listener accepted connection from coordinator 4
I0913 22:21:49.424800 80741 Socket.h:69] Disabling nagle
I0913 22:21:49.424803 80741 Coordinator.h:383] Listener accepted connection from coordinator 7
I0913 22:21:49.424808 80741 Socket.h:69] Disabling nagle
I0913 22:21:49.424810 80741 Coordinator.h:383] Listener accepted connection from coordinator 3
I0913 22:21:49.424811 80741 Coordinator.h:386] Listener 0 on coordinator 0 exits.
I0913 22:21:49.424868 80727 Socket.h:69] Disabling nagle
I0913 22:21:49.424881 80727 Coordinator.h:423] Coordinator 0 connected to 2
I0913 22:21:49.424964 80727 Socket.h:69] Disabling nagle
I0913 22:21:49.424968 80727 Coordinator.h:423] Coordinator 0 connected to 3
I0913 22:21:49.425041 80727 Socket.h:69] Disabling nagle
I0913 22:21:49.425045 80727 Coordinator.h:423] Coordinator 0 connected to 4
I0913 22:21:49.425102 80727 Socket.h:69] Disabling nagle
I0913 22:21:49.425105 80727 Coordinator.h:423] Coordinator 0 connected to 5
I0913 22:21:49.425161 80727 Socket.h:69] Disabling nagle
I0913 22:21:49.425169 80727 Coordinator.h:423] Coordinator 0 connected to 6
I0913 22:21:49.425225 80727 Socket.h:69] Disabling nagle
I0913 22:21:49.425230 80727 Coordinator.h:423] Coordinator 0 connected to 7
I0913 22:21:49.425240 80727 Coordinator.h:435] Coordinator 0 connected to all peers.
I0913 22:21:49.425256 80727 Dispatcher.h:37] IncomingDispatcher 0 coord_id 0
I0913 22:21:49.425395 80727 Dispatcher.h:210] OutgoingDispatcher 0 coord_id 0
I0913 22:21:49.425436 80742 Dispatcher.h:56] Incoming Dispatcher started, numCoordinators = 8, numWorkers = 2, group id = 0, coordinator = 0
I0913 22:21:49.425469 80727 Coordinator.h:146] Coordinator starts to run 3 workers.
I0913 22:21:49.425496 80743 Dispatcher.h:222] Outgoing Dispatcher started, numCoordinators = 8, numWorkers = 3, group id = 0
I0913 22:21:49.425695 80744 Executor.h:74] Executor 0 starts.
I0913 22:21:49.425734 80744 CXLMemory.h:40] cxlalloc initialized for thread 1 (global ID = 1) on host 0
I0913 22:21:49.425812 80745 Executor.h:74] Executor 1 starts.
I0913 22:21:49.425843 80746 Manager.h:226] Manager(worker id = 2) on the coordinator node started.
I0913 22:21:49.425848 80745 CXLMemory.h:40] cxlalloc initialized for thread 2 (global ID = 2) on host 0
I0913 22:21:50.425900 80727 Coordinator.h:237] commit: 103770 abort: 5259 (488/4453/318), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:24:56.567554 80868 Coordinator.h:237] commit: 29650 abort: 5472 (127/5023/322), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3642275, avg network size: 122.842, si_in_serializable: 0 0 %, local: 0.826307 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:24:57.567873 80868 Coordinator.h:237] commit: 28922 abort: 6195 (138/5768/289), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3642832, avg network size: 125.954, si_in_serializable: 0 0 %, local: 0.826361 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:24:58.568159 80868 Coordinator.h:237] commit: 30095 abort: 5347 (154/4887/306), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3673510, avg network size: 122.064, si_in_serializable: 0 0 %, local: 0.764247 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:24:59.568507 80868 Coordinator.h:237] commit: 29774 abort: 5969 (134/5518/317), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3806032, avg network size: 127.831, si_in_serializable: 0 0 %, local: 0.846376 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:00.568850 80868 Coordinator.h:237] commit: 28664 abort: 5378 (126/4968/284), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3644360, avg network size: 127.141, si_in_serializable: 0 0 %, local: 0.732626 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:01.569172 80868 Coordinator.h:237] commit: 28986 abort: 5857 (136/5416/305), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3637783, avg network size: 125.501, si_in_serializable: 0 0 %, local: 0.827986 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:02.569522 80868 Coordinator.h:237] commit: 29018 abort: 5831 (136/5354/341), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3729349, avg network size: 128.518, si_in_serializable: 0 0 %, local: 0.775381 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:03.569852 80868 Coordinator.h:237] commit: 28858 abort: 6441 (144/5953/344), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3516941, avg network size: 121.871, si_in_serializable: 0 0 %, local: 0.817797 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:04.570200 80868 Coordinator.h:237] commit: 29406 abort: 5350 (133/4877/340), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3680044, avg network size: 125.146, si_in_serializable: 0 0 %, local: 0.795756 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:05.570528 80868 Coordinator.h:237] commit: 29686 abort: 6500 (128/6055/317), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3867908, avg network size: 130.294, si_in_serializable: 0 0 %, local: 0.778145 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:06.570868 80868 Coordinator.h:237] commit: 30371 abort: 5907 (139/5486/282), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3649400, avg network size: 120.161, si_in_serializable: 0 0 %, local: 0.839617 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:07.571194 80868 Coordinator.h:237] commit: 29406 abort: 6264 (148/5828/288), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3645762, avg network size: 123.98, si_in_serializable: 0 0 %, local: 0.727743 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:08.571543 80868 Coordinator.h:237] commit: 29633 abort: 5314 (149/4826/339), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3731115, avg network size: 125.911, si_in_serializable: 0 0 %, local: 0.830156 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:09.571879 80868 Coordinator.h:237] commit: 29909 abort: 5678 (162/5095/421), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3705120, avg network size: 123.88, si_in_serializable: 0 0 %, local: 0.916112 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:10.572229 80868 Coordinator.h:237] commit: 29809 abort: 5973 (163/5475/335), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3741406, avg network size: 125.513, si_in_serializable: 0 0 %, local: 0.842028 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:11.572546 80868 Coordinator.h:237] commit: 30751 abort: 5961 (139/5552/270), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3720314, avg network size: 120.982, si_in_serializable: 0 0 %, local: 0.884524 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:12.572865 80868 Coordinator.h:237] commit: 29106 abort: 5798 (136/5359/303), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3683910, avg network size: 126.569, si_in_serializable: 0 0 %, local: 0.865801 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:13.573213 80868 Coordinator.h:237] commit: 29149 abort: 6061 (144/5614/303), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3675800, avg network size: 126.104, si_in_serializable: 0 0 %, local: 0.850801 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:14.573554 80868 Coordinator.h:237] commit: 28382 abort: 5582 (153/5047/382), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3575275, avg network size: 125.97, si_in_serializable: 0 0 %, local: 0.796279 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:15.573880 80868 Coordinator.h:237] commit: 28509 abort: 5461 (134/5003/324), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3681641, avg network size: 129.14, si_in_serializable: 0 0 %, local: 0.848855 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:16.574231 80868 Coordinator.h:237] commit: 29212 abort: 5870 (147/5418/305), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3759959, avg network size: 128.713, si_in_serializable: 0 0 %, local: 0.766808 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:17.574587 80868 Coordinator.h:237] commit: 29224 abort: 5566 (140/5140/286), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3772246, avg network size: 129.08, si_in_serializable: 0 0 %, local: 0.862305 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:18.574949 80868 Coordinator.h:237] commit: 29197 abort: 6012 (147/5558/307), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3672190, avg network size: 125.773, si_in_serializable: 0 0 %, local: 0.852827 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:19.575273 80868 Coordinator.h:237] commit: 29297 abort: 5763 (130/5359/274), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3560667, avg network size: 121.537, si_in_serializable: 0 0 %, local: 0.78165 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:20.575627 80868 Coordinator.h:237] commit: 29828 abort: 6166 (139/5755/272), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3729009, avg network size: 125.017, si_in_serializable: 0 0 %, local: 0.791203 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:21.575953 80868 Coordinator.h:237] commit: 30192 abort: 5478 (159/5007/312), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3691477, avg network size: 122.267, si_in_serializable: 0 0 %, local: 0.871092 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:22.576297 80868 Coordinator.h:237] commit: 29817 abort: 5541 (151/5080/310), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 3689617, avg network size: 123.742, si_in_serializable: 0 0 %, local: 0.771372 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0913 22:25:22.576551 80868 Coordinator.h:275] average commit: 29512.6 abort: 5822.07 (142.467/5366.13/313.467), abort_rate: 0.153851, network size: 110662068, avg network size: 124.988, si_in_serializable: 0 0 %, local: 0.818859 %, local_access: 0, local_cxl_access: 0 (-nan%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, data_move_out: 0
I0913 22:25:22.576679 80868 Executor.h:199] Worker 0 latency: 18 us (50%) 31 us (75%) 343 us (95%) 589 us (99%). dist txn latency: 262 us (50%) 362 us (75%) 594 us (95%) 895 us (99%)  avg 296 us . local txn latency: 14 us (50%) 26 us (75%) 152 us (95%) 421 us (99%)  avg 33 us. txn commit latency: 19 us (50%) 75 us (75%) 373 us (95%) 617 us (99%) avg 80 us.
 LOCAL txn stall 10156 us,  local_work 6 us,  remote_work 0 us,  commit_work 6 us,  commit_prepare 3 us,  commit_persistence 0 us,  commit_write_back 1 us,  commit_replication 0 us,  commit_release_lock 0 us 
 DIST txn stall 21497 us,  local_work 4 us,  remote_work 94 us,  commit_work 176 us,  commit_prepare 88 us,  commit_persistence 0 us,  commit_write_back 86 us,  commit_replication 0 us,  commit_release_lock 0 us 
I0913 22:25:22.583323 80868 Executor.h:230] message stats, type: 0 count: 0 total size: 0
I0913 22:25:22.583417 80868 Executor.h:230] message stats, type: 1 count: 0 total size: 0
I0913 22:25:22.583494 80868 Executor.h:230] message stats, type: 2 count: 0 total size: 0
I0913 22:25:22.583571 80868 Executor.h:230] message stats, type: 3 count: 0 total size: 0
I0913 22:25:22.583647 80868 Executor.h:230] message stats, type: 4 count: 0 total size: 0
I0913 22:25:22.583722 80868 Executor.h:230] message stats, type: 5 count: 0 total size: 0
I0913 22:25:22.583797 80868 Executor.h:230] message stats, type: 6 count: 0 total size: 0
I0913 22:25:22.583873 80868 Executor.h:230] message stats, type: 7 count: 0 total size: 0
I0913 22:25:22.583948 80868 Executor.h:230] message stats, type: 8 count: 0 total size: 0
I0913 22:25:22.584023 80868 Executor.h:230] message stats, type: 9 count: 0 total size: 0
I0913 22:25:22.584100 80868 Executor.h:230] message stats, type: 10 count: 155767 total size: 95213596
I0913 22:25:22.584175 80868 Executor.h:230] message stats, type: 11 count: 156746 total size: 1410714
I0913 22:25:22.584250 80868 Executor.h:230] message stats, type: 12 count: 0 total size: 0
I0913 22:25:22.584326 80868 Executor.h:230] message stats, type: 13 count: 152658 total size: 54614428
I0913 22:25:22.584398 80868 Executor.h:230] message stats, type: 14 count: 156746 total size: 1253968
I0913 22:25:22.584470 80868 Executor.h:230] message stats, type: 15 count: 0 total size: 0
I0913 22:25:22.584540 80868 Executor.h:230] message stats, type: 16 count: 0 total size: 0
I0913 22:25:22.584612 80868 Executor.h:230] message stats, type: 17 count: 0 total size: 0
I0913 22:25:22.584683 80868 Executor.h:230] message stats, type: 18 count: 178268 total size: 5626308
I0913 22:25:22.584754 80868 Executor.h:230] message stats, type: 19 count: 182946 total size: 105690392
I0913 22:25:22.584825 80868 Executor.h:230] message stats, type: 20 count: 0 total size: 0
I0913 22:25:22.584895 80868 Executor.h:230] message stats, type: 21 count: 0 total size: 0
I0913 22:25:22.584965 80868 Executor.h:230] message stats, type: 22 count: 176576 total size: 5394076
I0913 22:25:22.585476 80886 Executor.h:194] Executor 1 exits.
I0913 22:25:22.585479 80885 Executor.h:194] Executor 0 exits.
I0913 22:25:22.585587 80887 Manager.h:228] Manager(worker id = 2) on the coordinator node exits.
I0913 22:25:22.585932 80868 Executor.h:199] Worker 1 latency: 18 us (50%) 31 us (75%) 351 us (95%) 594 us (99%). dist txn latency: 264 us (50%) 364 us (75%) 581 us (95%) 919 us (99%)  avg 295 us . local txn latency: 15 us (50%) 26 us (75%) 160 us (95%) 434 us (99%)  avg 34 us. txn commit latency: 20 us (50%) 82 us (75%) 379 us (95%) 635 us (99%) avg 82 us.
 LOCAL txn stall 10196 us,  local_work 6 us,  remote_work 0 us,  commit_work 6 us,  commit_prepare 3 us,  commit_persistence 0 us,  commit_write_back 1 us,  commit_replication 0 us,  commit_release_lock 0 us 
 DIST txn stall 22355 us,  local_work 5 us,  remote_work 95 us,  commit_work 177 us,  commit_prepare 89 us,  commit_persistence 0 us,  commit_write_back 86 us,  commit_replication 0 us,  commit_release_lock 0 us 
I0913 22:25:22.592375 80868 CXLMemory.h:132] CXL memory usage: size_index_usage: 0 size_index_allocation: 0 size_index_free: 0 size_data_usage: 0 size_data_allocation: 0 size_data_free: 0 size_transport_usage: 268435904 size_transport_allocation: 268435904 size_transport_free: 0
I0913 22:25:22.592383 80868 Coordinator.h:492] Global Stats: total_commit: 232033 total_size_index_usage: 0 total_size_data_usage: 0 total_size_transport_usage: 268435904
I0913 22:25:23.592466 80883 Dispatcher.h:153] Incoming Dispatcher exits, network size: 668359112. socket_message_recv_latency(50th) 2 socket_message_recv_latency(75th) 2 socket_message_recv_latency(95th) 5 socket_message_recv_latency(99th) 8 internal_message_recv_latency(50th) 0 socket_message_recv_cnt 81287 socket_read_syscall 139956222 internal_message_recv_cnt 0
I0913 22:25:23.592471 80884 Dispatcher.h:268] Outgoing Dispatcher exits, network size: 668630825. msg_send_latency(50th) 0 msg_send_latency(75th) 0 msg_send_latency(95th) 0 msg_send_latency(99th) 0 msg_send_latency(avg) 0 msg_gen_to_sent_latency(50th) 23 msg_gen_to_sent_latency(75th) 99 msg_gen_to_sent_latency(95th) 1705 msg_gen_to_sent_latency(99th) 4792 msg_gen_to_queue_latency(50th) 0 msg_gen_to_queue_latency(75th) 0 msg_gen_to_queue_latency(95th) 0 msg_gen_to_queue_latency(99th) 0 msg_disp_ltc(50th) 0 msg_disp_ltc(75th) 0 msg_disp_ltc(95th) 0 msg_disp_ltc(99th) 0 msg_disp_ltc(100th) 0 send_ltc(50th) 2 send_ltc(75th) 2 send_ltc(95th) 5 send_ltc(99th) 8 send_ltc(100th) 325 send_ltc(avg) 2 sendto_cnt 2234093 network_size 668630825 network_msg_cnt 2325385 network_msg_group_size avg 1 50th 1 internal_network_size 0 internal_network_msg_cnt 0
I0913 22:25:23.630414 80868 Coordinator.h:96] round_trip_latency 28 (50th) 34 (75th) 39 (95th) 39 (99th) 
I0913 22:25:23.630578 80868 Coordinator.h:318] Coordinator exits.
killing previous experiments...
killing previous experiments...
initializing cxl memory...
I0913 22:25:50.036412 81011 bench_tpcc.cpp:71] WAL Group Commiting off. Log to file _non_group_commit.txt using Blackhole Logger
I0913 22:25:50.036453 81011 Database.h:166] creating hash tables for database...
I0913 22:25:50.040997 81011 Database.h:146] warehouse initialization finished in 0 milliseconds.
I0913 22:25:50.041139 81011 Database.h:146] district initialization finished in 0 milliseconds.
I0913 22:25:50.172374 81011 Database.h:146] customer initialization finished in 131 milliseconds.
I0913 22:25:50.190019 81011 Database.h:146] customer_name_idx initialization finished in 17 milliseconds.
I0913 22:25:50.257797 81011 Database.h:146] item initialization finished in 67 milliseconds.
I0913 22:25:50.539918 81011 Database.h:146] stock initialization finished in 282 milliseconds.
I0913 22:25:50.588420 81011 CXLMemory.h:40] cxlalloc initialized for thread 0 (global ID = 0) on host 0
I0913 22:25:50.588435 81011 Coordinator.h:42] Coordinator initializes 2 workers.
I0913 22:25:50.588637 81011 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:25:50.597651 81011 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:25:50.606671 81011 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:25:50.615716 81011 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:25:50.624807 81011 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:25:50.633953 81011 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:25:50.643090 81011 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:25:50.652221 81011 MPSCRingBuffer.h:34] entry_struct_size: 8192 entry_num: 4096
I0913 22:25:50.661315 81011 Coordinator.h:332] Coordinator 0 initializes CXL transport metadata (8 ringbuffers each with 4096 entries (each 8183 Bytes)
I0913 22:25:50.661532 81025 Coordinator.h:368] Listener 0 on coordinator 0 listening on 192.168.100.2:1234 tcp_no_delay 1 tcp_quick_ack 0
